Sex,search,intel_led,search_result,officer_race,officer_race3,officer_age,officergender,officer_gender,Age,RateViolentCrime_tract,RatePropertyCrime_tract,RateNarcoticsCrime_tract,escalation,correct_new_contains_intro_greeting,correct_new_intro,correct_new_greeting,correct_new_reason,correct_new_ID,correct_new_details,correct_new_sanction,correct_order_total,correct_new_history,correct_new_search,correct_new_help,correct_new_legitimacy,correct_new_closing,binary_correct_new_contains_intro_greeting,binary_correct_new_intro,binary_correct_new_greeting,binary_correct_new_reason,binary_correct_new_ID,binary_correct_new_details,binary_correct_new_sanction,binary_correct_order_total,binary_correct_new_history,binary_correct_new_search,binary_correct_new_help,binary_correct_new_legitimacy,binary_correct_new_closing
Female,0,0,3,A,Other,28,1,M,24,410.5839416,547.4452555,147.810219,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,30,1,M,38,309.5666068,687.0381466,59.91611744,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,54,1,M,45,252.6315789,336.8421053,23.39181287,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,34,1,M,30,362.5527688,573.6280109,89.39657313,0,1,0,1,1,1,0,0,3,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0
Female,0,0,3,A,Other,54,1,M,72,252.6315789,336.8421053,23.39181287,0,1,0,1,1,2,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,54,1,M,33,837.3205742,3732.057416,103.6682616,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,26,1,M,43,307.250221,649.867374,46.41909814,0,1,0,1,1,1,2,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0
Male,0,0,3,A,Other,34,1,M,46,332.361516,524.7813411,43.73177843,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,47,1,M,21,235.0985514,522.4412254,14.24839706,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,47,1,M,18,235.0985514,522.4412254,14.24839706,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,28,1,M,30,500.5362889,1333.571684,107.2577762,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0
Male,0,0,3,A,Other,28,1,M,59,330.9584004,563.0889451,108.0211446,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0
Male,0,0,3,A,Other,36,1,M,38,226.259856,462.8042509,54.85087419,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Male,0,0,3,A,Other,36,1,M,22,452.5288376,1237.799468,68.76663709,0,2,1,1,0,0,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
Male,0,0,3,A,Other,30,1,M,25,384.9950642,439.2892399,177.6900296,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,47,1,M,23,235.0985514,522.4412254,14.24839706,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,30,1,M,40,232.5581395,3953.488372,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Female,0,0,3,A,Other,25,1,M,36,321.9913222,561.7720941,77.64329756,0,2,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0
Male,0,0,3,A,Other,25,1,M,33,248.455731,466.7124228,54.90734386,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,25,1,M,53,97.73662551,766.4609053,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0
Male,0,0,3,A,Other,30,1,M,34,214.9137089,543.7968089,39.0752198,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
Male,0,0,3,A,Other,28,1,M,23,486.4181933,1036.007581,183.1964624,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0
Male,0,0,3,A,Other,28,1,M,29,247.5884244,498.392283,25.72347267,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,25,1,M,25,348.1359649,496.1622807,106.9078947,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0
Female,0,0,3,A,Other,30,1,M,17,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,1,1,0
Male,0,0,3,A,Other,30,1,M,23,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Male,0,0,3,A,Other,27,1,M,40,452.5288376,1237.799468,68.76663709,0,1,0,1,1,2,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,28,1,M,26,486.4181933,1036.007581,183.1964624,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Female,0,0,3,A,Other,23,1,M,55,666.6666667,4952.380952,95.23809524,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
Male,0,0,3,A,Other,33,1,M,27,666.6666667,4952.380952,95.23809524,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,25,1,M,24,321.9913222,561.7720941,77.64329756,0,2,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,28,1,M,53,369.2104829,509.3126751,13.18608868,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,30,1,M,42,214.9137089,543.7968089,39.0752198,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,30,1,M,21,214.9137089,543.7968089,39.0752198,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0
Male,0,0,3,A,Other,27,1,M,42,327.4621682,2723.889854,138.9233441,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Male,0,0,3,A,Other,27,1,M,28,332.361516,524.7813411,43.73177843,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,28,1,M,28,352.515818,1054.534498,51.22024706,0,2,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0
Male,0,0,3,A,Other,28,1,M,53,247.5884244,498.392283,25.72347267,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Male,0,0,3,A,Other,28,1,M,30,166.3542643,534.20806,9.372071228,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,30,1,M,23,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,23,1,M,52,397.515528,927.5362319,144.9275362,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,54,1,M,36,107.1012806,626.3096624,16.29802095,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0
Male,0,0,3,A,Other,54,1,M,51,252.6315789,336.8421053,23.39181287,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0
Male,0,0,3,A,Other,28,1,M,27,684.1216216,1672.297297,42.22972973,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
Male,0,0,3,A,Other,42,1,M,63,248.455731,466.7124228,54.90734386,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
Male,0,0,3,B,Black,23,1,M,27,195.9183673,673.4693878,12.24489796,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
Male,0,0,3,B,Black,40,1,M,49,263.9368525,1369.018254,29.60039467,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Female,0,0,3,B,Black,41,1,M,31,330.9692671,592.7051672,47.28132388,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Female,0,0,3,B,Black,40,1,M,52,263.9368525,1369.018254,29.60039467,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0
Male,0,0,3,B,Black,30,1,M,31,193.8726663,1110.579225,11.96744854,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
Female,0,0,3,B,Black,23,1,M,22,361.9909502,393.6651584,31.67420814,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Female,0,0,3,B,Black,50,1,M,40,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0
Female,0,0,3,B,Black,41,1,M,40,307.0586033,505.5233102,84.25388504,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Female,0,0,3,B,Black,50,1,M,21,361.7511521,755.7603687,244.2396313,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0
Male,0,0,3,B,Black,34,1,M,36,837.3205742,3732.057416,103.6682616,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Female,0,0,3,B,Black,34,1,M,33,545.3350854,1885.676741,118.2654402,0,2,1,1,1,2,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0
